
Image Name                     PID Session Name        Session#    Mem Usage
RuntimeBroker.exe             7344 Console                    1     21,856 K
svchost.exe                  10256 Services                   0     20,112 K
svchost.exe                  10420 Console                    1     18,252 K
GoogleCrashHandler.exe        1508 Services                   0        364 K
GoogleCrashHandler64.exe     10020 Services                   0        296 K
SgrmBroker.exe                3372 Services                   0      7,608 K
svchost.exe                  11028 Services                   0      8,724 K
svchost.exe                   9588 Services                   0      9,404 K
wmpnetwk.exe                 11512 Services                   0      8,168 K
svchost.exe                   9212 Services                   0     11,884 K
RuntimeBroker.exe            10464 Console                    1     14,652 K
svchost.exe                  12080 Services                   0      6,180 K
ShellExperienceHost.exe      12252 Console                    1     73,504 K
RuntimeBroker.exe            12532 Console                    1     32,172 K
ApplicationFrameHost.exe      8684 Console                    1     31,768 K
dllhost.exe                   2692 Console                    1     13,132 K
RuntimeBroker.exe            12756 Console                    1     26,968 K
SystemSettings.exe            9500 Console                    1      2,116 K
Calculator.exe                1792 Console                    1      2,140 K
RuntimeBroker.exe            12812 Console                    1      6,244 K
WinStore.App.exe             14024 Console                    1      2,108 K
RuntimeBroker.exe            10084 Console                    1      8,624 K
svchost.exe                  11580 Console                    1      8,052 K
GameBar.exe                  14924 Console                    1     39,668 K
RuntimeBroker.exe             7716 Console                    1     11,820 K
svchost.exe                   4464 Services                   0     11,876 K
LockApp.exe                   4404 Console                    1     48,492 K
Microsoft.Photos.exe         14792 Console                    1     52,420 K
MicTray64.exe                 2340 Console                    1     11,228 K
SmartAudio3.exe              12648 Console                    1    247,408 K
SynTPEnh.exe                  3644 Console                    1     21,956 K
svchost.exe                  11172 Services                   0      6,924 K
RuntimeBroker.exe             6068 Console                    1     34,764 K
SynTPHelper.exe                920 Console                    1      5,336 K
SettingSyncHost.exe           1196 Console                    1      6,532 K
svchost.exe                  11892 Services                   0      9,024 K
RuntimeBroker.exe             4156 Console                    1     30,512 K
UserOOBEBroker.exe           11196 Console                    1      9,344 K
svchost.exe                  15064 Services                   0      5,168 K
ctfmon.exe                    1776 Console                    1     22,592 K
SystemSettingsBroker.exe     15144 Console                    1     30,036 K
UniKeyNT.exe                 11228 Console                    1      7,612 K
svchost.exe                  15336 Services                   0      8,736 K
HelpPane.exe                 15048 Console                    1     21,432 K
dllhost.exe                  13408 Console                    1      9,468 K
Flow.exe                     12536 Console                    1     88,036 K
Video.UI.exe                 10908 Console                    1      1,596 K
audiodg.exe                  13740 Services                   0     19,932 K
Discord.exe                  11644 Console                    1     68,696 K
Discord.exe                   6012 Console                    1     22,116 K
Discord.exe                   3420 Console                    1    121,636 K
Discord.exe                  10932 Console                    1     36,220 K
Discord.exe                   7488 Console                    1    287,308 K
Discord.exe                   4592 Console                    1     56,160 K
chrome.exe                    1368 Console                    1    214,976 K
chrome.exe                   11164 Console                    1      7,168 K
chrome.exe                   13664 Console                    1    219,340 K
chrome.exe                   12708 Console                    1     49,060 K
chrome.exe                    5012 Console                    1     19,544 K
chrome.exe                    8680 Console                    1    104,816 K
chrome.exe                    7948 Console                    1     43,976 K
chrome.exe                    6876 Console                    1     34,436 K
chrome.exe                    7776 Console                    1     19,416 K
chrome.exe                   14912 Console                    1     75,284 K
chrome.exe                    1944 Console                    1     56,660 K
svchost.exe                   8956 Services                   0      5,884 K
vmware-tray.exe              12896 Console                    1     10,980 K
vmware-authd.exe              8696 Services                   0     12,864 K
sublime_text.exe             13724 Console                    1     60,892 K
plugin_host-3.3.exe           1144 Console                    1     17,996 K
plugin_host-3.8.exe           3428 Console                    1     27,252 K
SearchProtocolHost.exe        8704 Console                    1      7,800 K
powershell.exe               15000 Console                    1     76,060 K
conhost.exe                  13136 Console                    1     13,604 K
chrome.exe                   14664 Console                    1    117,704 K
chrome.exe                   12344 Console                    1     15,608 K
chrome.exe                   15032 Console                    1    125,472 K
chrome.exe                    2000 Console                    1     64,796 K
chrome.exe                   11068 Console                    1     68,808 K
chrome.exe                    6540 Console                    1     26,104 K
py.exe                       15220 Console                    1      6,932 K
conhost.exe                  12724 Console                    1     12,920 K
python.exe                    7508 Console                    1      9,648 K
cmd.exe                      14752 Console                    1      4,388 K
powershell.exe               13000 Console                    1     50,416 K
tasklist.exe                 12472 Console                    1      9,108 K
WmiPrvSE.exe                 15248 Services                   0      9,644 K
